term,cf,df,offset
1983,6,6,2213
1984,16,10,2219
1986,7,7,2229
1987,2,2,2236
1988,20,18,2238
1989,13,13,2256
1990,26,18,2269
1991,19,19,2287
1992,35,23,2306
1993,26,17,2329
1994,49,37,2346
1995,43,30,2383
1996,45,38,2413
1997,22,19,2451
1998,134,128,2470
1999,12,9,2598
19th,2,1,2607
19thld,1,1,2608
1st,69,35,2609
1stadd,1,1,2644
1stl,2,2,2645
1stld,49,43,2647
20,90,71,2690
200,28,25,2761
2000,20,18,2786
20000,4,4,2804
200000,1,1,2808
2001,2,2,2809
2001edt,1,1,2811
2002,1,1,2812
2002est,1,1,2813
2008,1,1,2814
2008edt,1,1,2815
2009,1,1,2816
2009est,1,1,2817
2012,1,1,2818
2012est,1,1,2819
2013,1,1,2820
2013est,1,1,2821
2018,1,1,2822
2018edt,1,1,2823
2022,1,1,2824
2022est,1,1,2825
2031,2,2,2826
2031edt,2,2,2828
2034,1,1,2830
2034edt,1,1,2831
2036,1,1,2832
2036edt,1,1,2833
2038,1,1,2834
2038edt,1,1,2835
2040,2,2,2836
2040edt,1,1,2838
2040est,1,1,2839
2043,1,1,2840
2043edt,1,1,2841
2044,1,1,2842
2044est,1,1,2843
2046,1,1,2844
2046edt,1,1,2845
2047,1,1,2846
2047edt,1,1,2847
2051,1,1,2848
2051edt,1,1,2849
2055,2,2,2850
2055est,2,2,2852
2057,1,1,2854
2057est,1,1,2855
2058,2,2,2856
2058edt,2,2,2858
209,1,1,2860
2098,1,1,2861
20th,3,2,2862
20thld,1,1,2864
21,53,33,2865
210,1,1,2898
2100,2,2,2899
21000,1,1,2901
210000,1,1,2902
2100est,1,1,2903
2101,4,4,2904
2101edt,4,4,2908
2102,1,1,2912
2102edt,1,1,2913
2105,2,2,2914
2105edt,2,2,2916
2109,1,1,2918
2109est,1,1,2919
2112,1,1,2920
2112edt,1,1,2921
2116,1,1,2922
2116est,1,1,2923
212,3,3,2924
2121,1,1,2927
2121edt,1,1,2928
2124,4,4,2929
2124edt,4,4,2933
2125,1,1,2937
2125est,1,1,2938
213,1,1,2939
2131,2,2,2940
2131edt,1,1,2942
2135,1,1,2943
2135edt,1,1,2944
2137,1,1,2945
2137edt,1,1,2946
214,3,3,2947
2147,1,1,2950
2147est,1,1,2951
2148,1,1,2952
2148edt,1,1,2953
2152,1,1,2954
2152edt,1,1,2955
2154,1,1,2956
2154edt,1,1,2957
2157,1,1,2958
2157edt,1,1,2959
217,1,1,2960
217000,1,1,2961
21st,1,1,2962
22,45,26,2963
2200,3,3,2989
220000,1,1,2992
2200edt,2,2,2993
2202,1,1,2995
2202edt,1,1,2996
221,1,1,2997
2211,1,1,2998
2211edt,1,1,2999
2223,1,1,3000
2223edt,1,1,3001
2228,1,1,3002
2228est,1,1,3003
2230,1,1,3004
22300,2,1,3005
2230edt,1,1,3006
224,1,1,3007
2243,1,1,3008
2247,1,1,3009
2247est,1,1,3010
2254,2,2,3011
2254est,2,2,3013
2257,1,1,3015
2257est,1,1,3016
228,3,3,3017
229,9,9,3020
22nd,1,1,3029
23,38,24,3030
230,2,2,3054
231,1,1,3056
2311,2,2,3057
2311edt,2,2,3059
2312,1,1,3061
2312est,1,1,3062
2314,1,1,3063
2314est,1,1,3064
2317,2,2,3065
2317edt,2,2,3067
2323,1,1,3069
2323est,1,1,3070
2333,1,1,3071
2333est,1,1,3072
235,1,1,3073
235ampadd,2,1,3074
2361,1,1,3075
238,1,1,3076
24,49,32,3077
240,1,1,3109
2412,1,1,3110
243,1,1,3111
245,1,1,3112
248,1,1,3113
25,94,53,3114
250,18,16,3167
25000,3,3,3183
250000,3,3,3186
2528,1,1,3189
2565,2,2,3190
25th,1,1,3192
26,31,21,3193
260,1,1,3214
269,1,1,3215
27,11,7,3216
270,10,10,3223
27000,1,1,3233
275,1,1,3234
28,14,10,3235
280,1,1,3245
285ampa,1,1,3246
285ampadd,1,1,3247
29,31,18,3248
294,1,1,3266
296,1,1,3267
298,1,1,3268
2nd,41,24,3269
2ndld,17,17,3293
2t,1,1,3310
2tak,1,1,3311
2take,21,16,3312
30,84,58,3328
300,21,20,3386
3000,8,8,3406
30000,3,3,3414
300000,11,11,3417
3000th,2,2,3428
31,22,13,3430
310,6,3,3443
313,2,1,3446
314,2,2,3447
315,1,1,3449
315ampadd,1,1,3450
317,2,1,3451
3197,2,2,3452
32,12,11,3454
320000,1,1,3465
326,1,1,3466
33,16,9,3467
33312,2,2,3476
